Date,Mkt-RF,SMB,HML,RF,AppleR,MsftR,GoogleR,AmazR,NvdiaR,AppleR - RF,MsftR - RF,GoogleR - RF,AmazR - RF,NvdiaR - RF
20081219,0.0035,0.0084,-0.0018,0,-0.0467,0.0031,-0.0425,-0.0077,-0.061,-0.0467,0.0031,-0.0425,-0.0077,-0.061
20081222,-0.0187,-0.0002,-0.0085,0,0.0065,0.0052,0.004,-0.0349,-0.01,0.0065,0.0052,0.004,-0.0349,-0.01
20081223,-0.0089,-0.001,-0.007,0,-0.013,-0.0057,0.0161,0.0241,-0.0253,-0.013,-0.0057,0.0161,0.0241,-0.0253
20081224,0.0051,-0.0034,0.0064,0,0.0066,-0.0021,-0.0079,0.0078,-0.0259,0.0066,-0.0021,-0.0079,0.0078,-0.0259
20081226,0.0063,0.0058,0.0005,0,0.0098,-0.0089,-0.0106,0.0078,0.0319,0.0098,-0.0089,-0.0106,0.0078,0.0319
20081229,-0.0056,-0.0149,0,0,-0.0032,0.02,0.0202,-0.0463,0.0309,-0.0032,0.02,0.0202,-0.0463,0.0309
20081230,0.0247,0.0055,0.0104,0,-0.0097,0.0052,0.0145,0.0283,0.01,-0.0097,0.0052,0.0145,0.0283,0.01
20081231,0.017,0.0154,0.0082,0,0.0623,0.0458,0.0442,0.0079,0.0792,0.0623,0.0458,0.0442,0.0079,0.0792
20090102,0.0311,-0.0127,-0.0044,0,0.0432,0.0093,0.0211,0.0625,0.0183,0.0432,0.0093,0.0211,0.0625,0.0183
20090105,-0.0028,0.0069,-0.0116,0,-0.0178,0.0117,0.0183,-0.0074,0.0315,-0.0178,0.0117,0.0183,-0.0074,0.0315
20090106,0.0087,0.0101,0.0088,0,-0.0211,-0.0602,-0.0359,0.063,-0.0611,-0.0211,-0.0602,-0.0359,0.063,-0.0611
20090107,-0.0296,0.0034,-0.0115,0,0.0185,0.0313,0.0099,-0.0209,-0.0233,0.0185,0.0313,0.0099,-0.0209,-0.0233
20090108,0.0047,0.0072,0.0043,0,-0.0242,-0.0298,-0.0319,0.0178,-0.0571,-0.0242,-0.0298,-0.0319,0.0178,-0.0571
20090109,-0.0221,-0.0135,-0.0129,0,-0.0186,-0.0026,-0.0076,-0.028,-0.0404,-0.0186,-0.0026,-0.0076,-0.028,-0.0404
20090112,-0.0228,0.0039,-0.0198,0,-0.0126,0.018,0.0064,-0.0647,0.0053,-0.0126,0.018,0.0064,-0.0647,0.0053
20090113,0.0028,0.0031,0.0044,0,-0.0256,-0.0368,-0.0432,-0.0115,-0.0419,-0.0256,-0.0368,-0.0432,-0.0115,-0.0419
20090114,-0.0338,-0.0053,-0.0131,0,-0.023,0.0079,-0.0066,-0.0584,0.0328,-0.023,0.0079,-0.0066,-0.0584,0.0328
20090115,0.0039,0.0232,-0.0235,0,-0.0134,0.0244,0.0027,0.062,0.0582,-0.0134,0.0244,0.0027,0.062,0.0582
20090116,0.0074,0.0047,-0.0107,0,-0.051,-0.0624,-0.056,0.0039,-0.1,-0.051,-0.0624,-0.056,0.0039,-0.1
20090120,-0.0534,0.0024,-0.042,0,0.0609,0.0487,0.0706,-0.062,0.05,0.0609,0.0487,0.0706,-0.062,0.05
20090121,0.0421,-0.0132,0.0289,0,0.0676,-0.1171,0.0119,0.0455,-0.0212,0.0676,-0.1171,0.0119,0.0455,-0.0212
20090122,-0.0162,-0.0097,-0.0186,0,0,0.0053,0.06,-0.0119,0.0432,0,0.0053,0.06,-0.0119,0.0432
20090123,0.0044,-0.0065,0.0112,0,0.0127,0.025,-0.0037,0.012,0.0311,0.0127,0.025,-0.0037,0.012,0.0311
20090126,0.0054,0.0077,-0.0069,0,0.0125,0.0017,0.0247,-0.0198,0.0603,0.0125,0.0017,0.0247,-0.0198,0.0603
20090127,0.0108,-0.0039,0.0032,0,0.037,0.0215,0.0518,-0.0242,0.0427,0.037,0.0215,0.0518,-0.0242,0.0427
20090128,0.0332,-0.0072,0.0288,0,-0.0119,-0.0249,-0.016,0.0413,-0.0591,-0.0119,-0.0249,-0.016,0.0413,-0.0591
20090129,-0.0323,-0.0016,-0.0219,0,-0.0301,-0.0279,-0.014,-0.0079,-0.0386,-0.0301,-0.0279,-0.014,-0.0079,-0.0386
20090130,-0.0216,0.002,-0.012,0,0.0155,0.0427,0.0059,0.176,0.0553,0.0155,0.0427,0.0059,0.176,0.0553
20090202,0.0006,0.0126,-0.0038,0.00001,0.0153,0.0376,0,0.0408,0.0095,0.01529,0.03759,-0.00001,0.04079,0.00949
20090203,0.0146,-0.0012,-0.0246,0.00001,0.006,0.007,0.007,0.0392,0.0283,0.00599,0.00699,0.00699,0.03919,0.02829
20090204,-0.006,-0.0022,-0.0036,0.00001,0.0299,0.022,0.0315,-0.0409,0.0734,0.02989,0.02199,0.03149,-0.04091,0.07339
20090205,0.0161,0.0015,-0.0013,0.00001,0.0349,0.0326,0.0497,0.0361,0.0556,0.03489,0.03259,0.04969,0.03609,0.05559
20090206,0.0279,-0.0013,0.0248,0.00001,0.0281,-0.0112,0.0205,0.0538,-0.0121,0.02809,-0.01121,0.02049,0.05379,-0.01211
